"OUI";"Virtual Machine"
"005056";"VMware vSphere/ VMware Workstation/ VMware ESX Server"
"000C29";"VMware vSphere/ VMware Workstation/ VMware Horizon"
"000569";"VMware ESX/ VMware GSX Server"
"001C14";"VMWare"
"000017";"Microsoft Virtual PC/ Virtual Server"
"00007D";"Microsoft Virtual PC/ Virtual Server"
"00015D";"Microsoft Virtual PC/ Virtual Server"
"0003BA";"Microsoft Virtual PC/ Virtual Server"
"00155d";"Hyper-V"
"00163E";"Red Hat Xen/ XenSource/ Novell Xen"
"001DD8";"Microsoft SCVMM"
"0003FF";" Microsoft Virtual PC/ Virtual Server"
"001851";"SWsoft"
"589CFC";"bhyve by FreebsdF"
"506B8D";"Nutanix AHV"
"545200";"KVM (proxmox)"
"960000";"Hetzner vServer"
"001C42";"Parallels Virtual Machine"
"0242";"Docker Container"
"000F4B"; (Oracle Virtual Iron 4)
"080027";"Oracle VirtualBox 5.2"
"525400";"Oracle VirtualBox 5.2 + Vagrant"
"0021F6";"Oracle VirtualBox 3.3"
"00144F";"Oracle VM Server for SPARC"
